SAMPLE	CATEGORY	TOTAL_READS	PF_READS	PCT_PF_READS	PF_NOISE_READS	PF_READS_ALIGNED	PCT_PF_READS_ALIGNED	PF_ALIGNED_BASES	PF_HQ_ALIGNED_READS	PF_HQ_ALIGNED_BASES	PF_HQ_ALIGNED_Q20_BASES	PF_HQ_MEDIAN_MISMATCHES	PF_MISMATCH_RATE	PF_HQ_ERROR_RATE	PF_INDEL_RATE	MEAN_READ_LENGTH	READS_ALIGNED_IN_PAIRS	PCT_READS_ALIGNED_IN_PAIRS	PF_READS_IMPROPER_PAIRS	PCT_PF_READS_IMPROPER_PAIRS	BAD_CYCLES	STRAND_BALANCE	PCT_CHIMERAS	PCT_ADAPTER	SAMPLE	LIBRARY	READ_GROUP
100_S8_L007	PAIR	2315550	2315550	1	0	2312578	0.998717	333071041	2308861	332750330	329014357	0	0.001969	0.001953	0.000091	144.515838	2311636	0.999593	18216	0.007877	0	0.500076	0.008702	0.000007			
101_S528_L008	PAIR	1700512	1700512	1	0	1695793	0.997225	238234072	1692063	237897469	234520983	0	0.00277	0.00275	0.000108	141.154885	1693858	0.998859	17937	0.010577	0	0.500099	0.011636	0.000117			
102_S466_L008	PAIR	1348494	1348494	1	0	1345863	0.998049	190290422	1340098	189899565	187341199	0	0.002639	0.00261	0.000103	142.782915	1345132	0.999457	18003	0.013377	0	0.4999	0.018583	0.000024			
103_S147_L007	PAIR	1199562	1199562	1	0	1197344	0.998151	165144043	1193037	164822798	163087180	0	0.002431	0.002398	0.000107	138.717031	1196684	0.999449	13652	0.011402	0	0.500145	0.012669	0.00002			
104_S325_L008	PAIR	2636008	2636008	1	0	2631504	0.998291	377567752	2626020	377086160	371796600	0	0.00262	0.002599	0.000091	144.135423	2629782	0.999346	25538	0.009705	0	0.500048	0.01094	0.000009			
105_S337_L008	PAIR	1927966	1927966	1	0	1923632	0.997752	274125090	1918544	273713194	270144419	0	0.002598	0.002575	0.000087	143.272879	1921978	0.99914	18102	0.00941	0	0.500111	0.011392	0.000084			
106_S303_L008	PAIR	2053158	2053158	1	0	2049268	0.998105	293647281	2044790	293266264	289151553	0	0.002614	0.002594	0.000094	143.986869	2047934	0.999349	19014	0.009278	0	0.500035	0.010699	0.000011			
107_S467_L008	PAIR	1104842	1104842	1	0	1102039	0.997463	157992680	1098412	157697104	155313345	0	0.002675	0.00265	0.000084	144.738832	1100972	0.999032	17973	0.016309	0	0.499924	0.022885	0.0001			
108_S482_L008	PAIR	62	62	1	0	54	0.870968	7446	54	7446	6581	1	0.014504	0.014504	0.000269	140.516129	54	1	0	0	0	0.5	0	0			
109_S484_L008	PAIR	2388250	2388250	1	0	2381463	0.997158	336174958	2376481	335727038	330925601	0	0.002908	0.002886	0.000103	141.8295	2378950	0.998945	23111	0.009705	0	0.500062	0.010778	0.000045			
