SAMPLE	MEDIAN_INSERT_SIZE	MODE_INSERT_SIZE	MEDIAN_ABSOLUTE_DEVIATION	MIN_INSERT_SIZE	MAX_INSERT_SIZE	MEAN_INSERT_SIZE	STANDARD_DEVIATION	READ_PAIRS	PAIR_ORIENTATION	WIDTH_OF_10_PERCENT	WIDTH_OF_20_PERCENT	WIDTH_OF_30_PERCENT	WIDTH_OF_40_PERCENT	WIDTH_OF_50_PERCENT	WIDTH_OF_60_PERCENT	WIDTH_OF_70_PERCENT	WIDTH_OF_80_PERCENT	WIDTH_OF_90_PERCENT	WIDTH_OF_95_PERCENT	WIDTH_OF_99_PERCENT	SAMPLE	LIBRARY	READ_GROUP
100_S8_L007	196	252	42	5	172385888	192.275506	49.448166	1147468	FR	19	35	53	69	85	101	113	129	151	165	223			
101_S528_L008	191	230	42	8	172836043	184.223394	51.317204	839118	FR	19	37	53	71	85	101	115	131	161	185	239			
102_S466_L008	188	139	46	11	172443283	187.838547	55.35536	664181	FR	19	37	57	77	93	105	121	137	165	175	315			
103_S147_L007	168	125	42	6	199394312	171.055334	50.802722	592077	FR	17	35	53	69	85	99	115	133	159	175	215			
104_S325_L008	207	252	39	2	188302459	196.461557	51.335299	1303427	FR	19	35	51	65	79	93	111	135	165	193	269			
105_S337_L008	199	252	42	3	172461261	192.307163	52.19638	953048	FR	19	37	55	71	85	101	115	135	159	185	277			
106_S303_L008	207	252	40	9	172843846	196.502314	52.025108	1015458	FR	19	37	51	67	81	95	113	135	167	195	275			
107_S467_L008	222	275	38	5	189384079	208.011095	56.190689	542207	FR	17	33	49	61	77	91	105	129	181	221	383			
108_S482_L008	183	118	50	85	275	186.888889	54.500765	27	FR	19	45	65	85	101	117	119	131	185	193	197			
109_S484_L008	197	229	39	4	159300562	187.628838	51.087599	1179478	FR	17	35	51	65	79	95	111	131	167	195	247			
10_S483_L008	207	252	37	2	189389457	192.953919	53.442324	2200603	FR	17	35	49	61	75	89	105	141	187	221	295			
110_S428_L008	214	275	39	6	196783908	201.560603	54.66501	985514	FR	19	37	49	65	79	95	113	131	175	211	353			
111_S474_L008	209	252	35	5	204310829	194.833106	53.261865	464018	FR	17	33	45	59	71	85	101	141	187	225	303			
112_S41_L007	206	252	39	3	189390008	197.657	50.145763	1813984	FR	19	35	49	65	79	93	109	131	161	185	263			
113_S334_L008	201	252	42	2	172453004	192.286227	52.510905	1666982	FR	21	39	55	69	85	101	115	137	163	191	269			
114_S180_L007	203	252	40	6	172839636	192.575833	52.199289	980238	FR	19	37	53	67	81	95	109	135	171	201	279			
