SAMPLE	CUSTOM_AMPLICON_SET	GENOME_SIZE	AMPLICON_TERRITORY	TARGET_TERRITORY	TOTAL_READS	PF_READS	PF_BASES	PF_UNIQUE_READS	PCT_PF_READS	PCT_PF_UQ_READS	PF_UQ_READS_ALIGNED	PF_SELECTED_PAIRS	PF_SELECTED_UNIQUE_PAIRS	PCT_PF_UQ_READS_ALIGNED	PF_BASES_ALIGNED	PF_UQ_BASES_ALIGNED	ON_AMPLICON_BASES	NEAR_AMPLICON_BASES	OFF_AMPLICON_BASES	ON_TARGET_BASES	ON_TARGET_FROM_PAIR_BASES	PCT_AMPLIFIED_BASES	PCT_OFF_AMPLICON	ON_AMPLICON_VS_SELECTED	MEAN_AMPLICON_COVERAGE	MEAN_TARGET_COVERAGE	MEDIAN_TARGET_COVERAGE	MAX_TARGET_COVERAGE	FOLD_ENRICHMENT	ZERO_CVG_TARGETS_PCT	PCT_EXC_DUPE	PCT_EXC_MAPQ	PCT_EXC_BASEQ	PCT_EXC_OVERLAP	PCT_EXC_OFF_TARGET	FOLD_80_BASE_PENALTY	PCT_TARGET_BASES_1X	PCT_TARGET_BASES_2X	PCT_TARGET_BASES_10X	PCT_TARGET_BASES_20X	PCT_TARGET_BASES_30X	AT_DROPOUT	GC_DROPOUT	HET_SNP_SENSITIVITY	HET_SNP_Q	SAMPLE	LIBRARY	READ_GROUP
100_S8_L007	ampliseq_amplicons_b37	3101804739	655802	566031	2315550	2315550	334633649	2315550	1	1	2312578	1141474	1141474	0.998717	333071041	333071041	329548218	35410	3487413	306891592	306771337	0.98953	0.01047	0.999893	502.511761	542.181598	57	33269	4679.762484	0.026509	0	0.000559	0.000013	0	0.992455	60.2424	0.954386	0.935597	0.795064	0.694056	0.622763	47.711371	1.239129	0.92005	11			
101_S528_L008	ampliseq_amplicons_b37	3101804739	655802	566031	1700512	1700512	240035575	1700512	1	1	1695793	836230	836230	0.997225	238234072	238234072	235679444	53039	2501589	224492506	224267459	0.989499	0.010501	0.999775	359.375915	396.608147	55	23519	4679.070075	0.020305	0	0.000857	0.000038	0	0.992014	39.660815	0.965299	0.949618	0.813212	0.698206	0.621464	46.706681	0.845249	0.933208	12			
102_S466_L008	ampliseq_amplicons_b37	3101804739	655802	566031	1348494	1348494	192541904	1348494	1	1	1345863	654256	654256	0.998049	190290422	190290422	186421837	48546	3820039	169535105	169452117	0.979925	0.020075	0.99974	284.265429	299.515583	19	20959	4633.632351	0.064298	0	0.001275	0.000039	0	0.991666	149.757792	0.889041	0.845899	0.617012	0.49704	0.439386	51.346536	0.874344	0.821903	7			
103_S147_L007	ampliseq_amplicons_b37	3101804739	655802	566031	1199562	1199562	166399679	1199562	1	1	1197344	581530	581530	0.998151	165144043	165144043	161688503	24807	3430733	151334200	151253833	0.979226	0.020774	0.999847	246.550793	267.360268	18	16318	4630.820486	0.058094	0	0.001202	0.000013	0	0.991608	89.120089	0.900262	0.859267	0.612587	0.487729	0.422208	53.422074	0.504821	0.830434	8			
104_S325_L008	ampliseq_amplicons_b37	3101804739	655802	566031	2636008	2636008	379942127	2636008	1	1	2631504	1294258	1294258	0.998291	377567752	377567752	372580446	103252	4884054	348285670	348074575	0.987064	0.012936	0.999723	568.129475	615.312006	83	35017	4667.312525	0.015792	0	0.000747	0.00004	0	0.992245	34.184	0.976081	0.96561	0.879639	0.790886	0.719075	48.365673	1.071915	0.956329	14			
105_S337_L008	ampliseq_amplicons_b37	3101804739	655802	566031	1927966	1927966	276225240	1927966	1	1	1923632	946186	946186	0.997752	274125090	274125090	270809599	83117	3232374	252924726	252731043	0.988208	0.011792	0.999693	412.944149	446.839	59	23708	4672.582576	0.017484	0	0.000952	0.000039	0	0.991992	37.236583	0.96794	0.954997	0.835834	0.728128	0.646383	47.935084	0.99381	0.940376	12			
106_S303_L008	ampliseq_amplicons_b37	3101804739	655802	566031	2053158	2053158	295627791	2053158	1	1	2049268	1007531	1007531	0.998105	293647281	293647281	289682866	77607	3886808	270720128	270557390	0.986764	0.013236	0.999732	441.72306	478.277918	70	27389	4665.933481	0.019177	0	0.00075	0.00004	0	0.992246	31.885195	0.966673	0.953197	0.851429	0.754733	0.681782	46.755697	1.425936	0.942035	12			
107_S467_L008	ampliseq_amplicons_b37	3101804739	655802	566031	1104842	1104842	159913541	1104842	1	1	1102039	539626	539626	0.997463	157992680	157992680	155256627	63373	2672680	142498408	142377448	0.983084	0.016916	0.999592	236.743144	251.750183	43	23059	4647.879917	0.033277	0	0.001116	0.000041	0	0.991874	31.468773	0.944999	0.928442	0.778639	0.660794	0.578975	39.859231	2.216789	0.910333	10			
108_S482_L008	ampliseq_amplicons_b37	3101804739	655802	566031	62	62	8712	62	1	1	54	26	26	0.870968	7446	7446	7191	0	255	6874	6874	0.965753	0.034247	1	0.010965	0.012144	0	4	4567.809414	0.9859	0	0	0.000134	0	0.992748	?	0.007362	0.004062	0	0	0	45.169814	16.294691	0.003535	0			
109_S484_L008	ampliseq_amplicons_b37	3101804739	655802	566031	2388250	2388250	338724304	2388250	1	1	2381463	1171361	1171361	0.997158	336174958	336174958	331759675	92449	4322834	317020959	316719129	0.987141	0.012859	0.999721	505.883902	560.077026	100	30480	4667.667977	0.019177	0	0.000737	0.000039	0	0.992198	25.458047	0.972304	0.96421	0.888513	0.814853	0.746767	42.374217	1.075227	0.954814	13			
