gene	num_var	multiallelic	aggr_ac	aggr_an	aggr_af	aggr_ac_nfe	aggr_an_nfe	aggr_af_nfe	aggr_ac_bc	aggr_an_bc	aggr_af_bc	aggr_ac_cbc	aggr_an_cbc	aggr_af_cbc	aggr_ac_ubc	aggr_an_ubc	aggr_af_ubc	nfe_bc_fisher_p	ubc_cbc_fisher_p	prop_trend_p	crude_trend_direction	nfe_bc_fisher_fdr	ubc_cbc_fisher_fdr	prop_trend_fdr	polr_status	polr_message	polr_p	polr_fdr
EPHB2	EPHB2	1	FALSE	9	1306	0.00689127105666156	1	366	0.00273224043715847	8	940	0.00851063829787234	4	474	0.00843881856540084	4	466	0.00858369098712446	0.458446782655083	1	0.344224306853794	Risk	1	1	0.707763130109068	succeeded	NA	0.409089265044624	0.701295882933641
SZT2	SZT2	5	FALSE	5	6428	0.000777846919726198	1	1832	0.000545851528384279	4	4596	0.000870322019147084	2	2320	0.000862068965517241	2	2276	0.000878734622144112	1	1	0.728657747765141	Risk	1	1	0.956356674943351	succeeded	NA	0.258153837474083	0.62843248623038
C8A	C8A	3	FALSE	6	3842	0.00156168662155128	1	1026	0.000974658869395711	5	2816	0.00177556818181818	1	1422	0.00070323488045007	4	1394	0.00286944045911047	1	0.213845786002745	0.749567050699026	Protective	1	1	0.956356674943351	succeeded	NA	0.724787380610968	0.887494751768532
DCLRE1B	DCLRE1B	2	FALSE	2	2636	0.000758725341426404	2	756	0.00264550264550265	0	1880	0	0	948	0	0	932	0	0.0821755693319474	1	0.0580161251489071	Protective	0.874557049631855	1	0.553563506581093	warning	glm.fit: fitted probabilities numerically 0 or 1 occurred	2.69497666572915e-05	0.000323397199887498
MSH2	MSH2	1	FALSE	1	1298	0.000770416024653313	0	360	0	1	938	0.00106609808102345	0	474	0	1	464	0.0021551724137931	1	0.494669509594883	0.912191799050558	None	1	1	0.956356674943351	succeeded	NA	0.952317144603375	0.985155666831078
MSH6	MSH6	3	FALSE	3	3924	0.000764525993883792	2	1128	0.00177304964539007	1	2796	0.000357653791130186	0	1412	0	1	1384	0.000722543352601156	0.200327820747488	0.494992846924177	0.110017635448656	Protective	0.874557049631855	1	0.553563506581093	succeeded	NA	0.537471607145735	0.778404590425511
FANCL	FANCL	3	FALSE	3	3822	0.000784929356357928	0	1128	0	3	2694	0.00111358574610245	1	1378	0.000725689404934688	2	1316	0.00151975683890578	0.559918394992212	0.616424109928534	0.565157866483176	Risk	1	1	0.784647834054462	succeeded	NA	0.598863431866709	0.781126215478316
IGFBP5	IGFBP5	2	FALSE	2	2604	0.000768049155145929	0	724	0	2	1880	0.00106382978723404	1	948	0.00105485232067511	1	932	0.00107296137339056	1	1	0.462245012065802	Risk	1	1	0.707763130109068	succeeded	NA	0.543604872646358	0.778404590425511
FANCD2	FANCD2	5	FALSE	5	6452	0.000774953502789833	2	1854	0.00107874865156419	3	4598	0.000652457590256633	1	2332	0.000428816466552316	2	2266	0.00088261253309797	0.629327625940717	0.619610527433797	0.444617134680956	Protective	1	1	0.707763130109068	succeeded	NA	0.467221862146825	0.778404590425511
MLH1	MLH1	1	FALSE	2	1216	0.00164473684210526	0	352	0	2	864	0.00231481481481481	0	436	0	2	428	0.00467289719626168	1	0.24510214153899	0.902973089412621	None	1	1	0.956356674943351	succeeded	NA	0.913593206514796	0.961677059489259
